file_id	file_name	project_id
15d7f4e5-5cfa-44d6-8dbc-68d473ae45c2	TCGA-BLCA.64c5fba6-0d70-447e-868d-b24982b2a894.wgs.tumor_normal.gatk4_mutect2.raw_somatic_mutation.vcf.gz	TCGA-BLCA
15f4e57c-715c-43fe-980b-a8d792f1a989	TCGA-LUSC.f1e14502-e2c0-4ba5-8477-0592c9a5bb10.wgs.tumor_normal.gatk4_mutect2.raw_somatic_mutation.vcf.gz	TCGA-LUSC
162054e4-5bb9-4450-b35f-8e831da63398	TCGA-COAD.ba21bd45-1f12-42ae-b2dd-1438cee0787e.wgs.tumor_normal.gatk4_mutect2.raw_somatic_mutation.vcf.gz	TCGA-COAD
17c765e5-14bc-4b46-8e70-a8b9a0ac5592	TCGA-HNSC.15bc169e-168d-4e46-941a-d939e8ea80ee.wgs.tumor_normal.gatk4_mutect2.raw_somatic_mutation.vcf.gz	TCGA-HNSC
18a27427-b35f-420a-88e8-ccc98a6d0d2a	TCGA-COAD.bcd987a3-0e66-4e56-84c9-db3f25eec34c.wgs.tumor_normal.gatk4_mutect2.raw_somatic_mutation.vcf.gz	TCGA-COAD
18ab24f7-cbb5-40cb-979c-39b82f079edc	TCGA-LUSC.f9c594db-02d0-4c91-8a82-62669c7ffc78.wgs.tumor_normal.gatk4_mutect2.raw_somatic_mutation.vcf.gz	TCGA-LUSC
191768f3-c124-483b-874d-9fafb533fd82	TCGA-LUSC.5393d2ee-c60b-4989-a041-73ed3832e4aa.wgs.tumor_normal.gatk4_mutect2.raw_somatic_mutation.vcf.gz	TCGA-LUSC
19a35d7d-d117-4409-b47a-b56e27594b53	TCGA-LUSC.73bc7651-8295-47d5-b1ef-8f474c6a1529.wgs.tumor_normal.gatk4_mutect2.raw_somatic_mutation.vcf.gz	TCGA-LUSC
19a677d0-8928-4e4c-b9a8-fdc6778b12f9	TCGA-BRCA.3a80b328-72ef-4794-9a3d-fe93835f40b9.wgs.tumor_normal.gatk4_mutect2.raw_somatic_mutation.vcf.gz	TCGA-BRCA
1a069b48-bc2a-41bc-8c44-17cab3459904	TCGA-LUSC.c6ce3f93-3168-4e8b-aa1d-4d96fcd725a0.wgs.tumor_normal.gatk4_mutect2.raw_somatic_mutation.vcf.gz	TCGA-LUSC
1b92fbc6-6a9c-4554-83dd-d5d53e0a3d3c	TCGA-LUSC.baeedc2d-297f-4fe5-83ed-06249d622e7b.wgs.tumor_normal.gatk4_mutect2.raw_somatic_mutation.vcf.gz	TCGA-LUSC
1bd63a52-ab3c-4cbe-a048-21e5487df84c	TCGA-LUSC.15dd6b8e-51ce-479e-9f15-e38d02f8cb95.wgs.tumor_normal.gatk4_mutect2.raw_somatic_mutation.vcf.gz	TCGA-LUSC
1bfb9b0a-ec97-421a-be7e-e40d5ae77101	TCGA-LUSC.c284bb0d-31ae-4e40-86e1-5712c39a9fc6.wgs.tumor_normal.gatk4_mutect2.raw_somatic_mutation.vcf.gz	TCGA-LUSC
1c89810b-bf6e-46cf-8c2f-a1295c0f91a2	TCGA-BLCA.e9f5a6ee-fbc5-4b3b-bb5c-e415e7dc791e.wgs.tumor_normal.gatk4_mutect2.raw_somatic_mutation.vcf.gz	TCGA-BLCA
1d163df8-3ab0-4b75-8dea-847d67b3438b	TCGA-BLCA.66d11067-d740-463b-96ea-4dfb605e2849.wgs.tumor_normal.gatk4_mutect2.raw_somatic_mutation.vcf.gz	TCGA-BLCA
1e36d00f-4462-449f-9215-63f7a641b263	TCGA-LUSC.e1254c56-f928-4af6-b49f-cd6dbba2fdaa.wgs.tumor_normal.gatk4_mutect2.raw_somatic_mutation.vcf.gz	TCGA-LUSC
1e463a37-ce6c-49ba-ac5e-9dec19481be3	TCGA-LUSC.de967ec1-961f-4b62-8d2f-b622db64fe74.wgs.tumor_normal.gatk4_mutect2.raw_somatic_mutation.vcf.gz	TCGA-LUSC
1f024e7b-462a-48e5-840a-9da8f3af0a01	TCGA-LUSC.da6af323-cf26-4c66-95b0-073109702835.wgs.tumor_normal.gatk4_mutect2.raw_somatic_mutation.vcf.gz	TCGA-LUSC
206c4729-3da5-41a3-b464-9181baebdabb	TCGA-LUSC.d2ad74df-7ee1-4f83-aa42-c5610e881cf9.wgs.tumor_normal.gatk4_mutect2.raw_somatic_mutation.vcf.gz	TCGA-LUSC
2092774b-91a7-4434-a1dd-34e3d50f4a1c	TCGA-LUSC.4d6ae3cf-f134-46cb-acf3-d6e29e9bb58a.wgs.tumor_normal.gatk4_mutect2.raw_somatic_mutation.vcf.gz	TCGA-LUSC
20bab1a0-e196-455d-bbe8-26c90dea7a9c	TCGA-LUSC.17eb2600-876a-40da-8cc6-67d052e54aad.wgs.tumor_normal.gatk4_mutect2.raw_somatic_mutation.vcf.gz	TCGA-LUSC
20c591a7-6afd-47d5-92be-80ac81d7cb86	TCGA-LUSC.6293701d-d1cd-4bd7-bcfa-0e719dc88f30.wgs.tumor_normal.gatk4_mutect2.raw_somatic_mutation.vcf.gz	TCGA-LUSC
215d0b01-bcac-4ea2-b906-a8d5b484fea9	TCGA-LUSC.8de52a98-e70b-4798-a4c3-7e512175137b.wgs.tumor_normal.gatk4_mutect2.raw_somatic_mutation.vcf.gz	TCGA-LUSC
2198217d-a9d0-4403-ac24-e65cb8216867	TCGA-BRCA.f100e605-50ee-4c72-b2c9-630e73523ea8.wgs.tumor_normal.gatk4_mutect2.raw_somatic_mutation.vcf.gz	TCGA-BRCA
21cf7a46-8c38-4c0d-98b5-b93b9aaf2a6b	TCGA-CESC.191473ec-9a8b-410f-b4c7-139eda4a32fb.wgs.tumor_normal.gatk4_mutect2.raw_somatic_mutation.vcf.gz	TCGA-CESC
21e19711-30c0-4a54-b29d-4aeb4d662fa2	TCGA-LUSC.fa9b36b5-9864-4692-887c-bffc7720fc96.wgs.tumor_normal.gatk4_mutect2.raw_somatic_mutation.vcf.gz	TCGA-LUSC
23aac728-6123-44b0-9e9e-17083ed4853e	TCGA-BRCA.8e2a5b03-f051-4bf4-be15-b9d1f930f28f.wgs.tumor_normal.gatk4_mutect2.raw_somatic_mutation.vcf.gz	TCGA-BRCA
23bc4a15-8e0f-4398-935d-ae05495455f7	TCGA-HNSC.325577db-b9d8-4fdc-aada-9abd7851ac41.wgs.tumor_normal.gatk4_mutect2.raw_somatic_mutation.vcf.gz	TCGA-HNSC
24c72b97-20a2-49e8-9c05-fe411e4804b1	TCGA-BRCA.f8e5c823-8dd2-41cc-b078-887b51c29c19.wgs.tumor_normal.gatk4_mutect2.raw_somatic_mutation.vcf.gz	TCGA-BRCA
254c0453-089a-4774-a27c-c77a4162c9e4	TCGA-LUSC.1a70589d-d6cf-4b48-8ca2-2f2217ed7275.wgs.tumor_normal.gatk4_mutect2.raw_somatic_mutation.vcf.gz	TCGA-LUSC
255d0dcb-ce19-451e-8161-f04da57a1009	TCGA-LUSC.7788e734-51ed-4697-9c52-3fa72b21a918.wgs.tumor_normal.gatk4_mutect2.raw_somatic_mutation.vcf.gz	TCGA-LUSC
262c03c9-0fa6-4798-944c-64ae4dff2dfd	TCGA-LUSC.4dbab18f-0936-4e16-b719-611e451d3601.wgs.tumor_normal.gatk4_mutect2.raw_somatic_mutation.vcf.gz	TCGA-LUSC
2848b891-682b-4f2e-ae87-9ea6073aa447	TCGA-BRCA.ed8c2875-2796-4c53-a7b8-2a74a2f8967b.wgs.tumor_normal.gatk4_mutect2.raw_somatic_mutation.vcf.gz	TCGA-BRCA
2a40a3d2-014a-4d70-95e7-85b656bf64b2	TCGA-BLCA.09a2882c-51b5-4fd1-b5c8-6aa65d59a360.wgs.tumor_normal.gatk4_mutect2.raw_somatic_mutation.vcf.gz	TCGA-BLCA
2ab8dc76-7c3e-41e8-8c31-2ed966bf63a0	TCGA-BRCA.312000a0-6483-4bdb-a81d-9dac744ad4b1.wgs.tumor_normal.gatk4_mutect2.raw_somatic_mutation.vcf.gz	TCGA-BRCA
2b4aa8a4-07ba-4851-841d-a684806388b0	REBC-THYR.06039b41-c24c-4a7c-95ec-77638ab156a9.wgs.tumor_normal.gatk4_mutect2.raw_somatic_mutation.vcf.gz	REBC-THYR
2ba147df-2454-405c-9220-559e51a6c4b6	TCGA-BRCA.32dcbc20-cebf-4dd6-b38e-c167bb31cf85.wgs.tumor_normal.gatk4_mutect2.raw_somatic_mutation.vcf.gz	TCGA-BRCA
2c1efa4e-f619-461a-8ae7-b7d8dd77eb40	TCGA-BRCA.5f77721a-07d5-4949-bc98-ec337210b595.wgs.tumor_normal.gatk4_mutect2.raw_somatic_mutation.vcf.gz	TCGA-BRCA
2d5df2f0-89b3-4300-8af9-f989b050b880	TCGA-LUSC.e55d6c15-9e64-4813-9c60-0aa3e4e921da.wgs.tumor_normal.gatk4_mutect2.raw_somatic_mutation.vcf.gz	TCGA-LUSC
2db43120-a9ba-4310-b156-639e126d8a54	TCGA-LUSC.77c56e7c-76bf-4e7b-bcbc-ecf256de76a3.wgs.tumor_normal.gatk4_mutect2.raw_somatic_mutation.vcf.gz	TCGA-LUSC
2debd643-5c71-48a9-b088-651f4b833999	MP2PRT-WT.cc3b9755-99ad-4d6b-bd59-4976a0ee730c.wgs.tumor_normal.gatk4_mutect2.raw_somatic_mutation.vcf.gz	MP2PRT-WT
