id	experimental_strategy	project_id
35a7688d-590b-4f4c-87fb-e6a94afe149c	WXS	TCGA-TGCT
dfee2143-892c-4a91-be67-5c15fe3bceba	WXS	TCGA-TGCT
269f36c1-4fcf-4660-9c76-a2f5c50c3ffa	WXS	TCGA-TGCT
3f209319-fdc4-45b0-93f5-e8226440fea5	WXS	TCGA-TGCT
08ba067b-440d-43ce-950c-c4b872fad8b9	WXS	TCGA-TGCT
3f522252-2170-4856-8415-a0971f5f105e	WXS	TCGA-ACC
6839244c-e44d-4e95-8af3-c9852d76f729	WXS	TCGA-BRCA
e6a49ca5-471d-437f-a969-9d52fe2a6b10	WXS	TCGA-ACC
59bc2acd-9599-4077-9f7a-b6a0ff789f42	WXS	TCGA-BRCA
7acdd5b2-0a61-467d-a850-ba5e92d3e2cd	WXS	TCGA-BRCA
b5a8c64d-ec94-4f7f-bb57-6d9b6c19f6d7	WXS	TCGA-BRCA
35bf8067-5571-49b1-9e6a-74b97dcab9b5	WXS	TCGA-BRCA
7de899c8-cda7-4984-974b-87cc84ea06c3	WXS	TCGA-BRCA
f429cdc8-6d88-47b3-8a28-cbacd974fdef	WXS	TCGA-BRCA
941a0134-e26f-4aac-91db-638ca08d27f1	WXS	TCGA-GBM
5c6be2da-e31d-47bd-b83d-746cafd94908	WXS	TCGA-GBM
cc54312c-2f4d-4c0e-a05d-ee25d0285e55	WXS	TCGA-GBM
5a69a70a-bf5d-4832-b110-3f7a878bd417	WXS	TCGA-GBM
c5837f8f-124b-409f-ac59-8510d24e4a41	WXS	TCGA-GBM
50202c53-56b9-4fd6-bf59-a678cd6e8982	WXS	TCGA-GBM
e5926d21-dc35-4c23-a67e-4e05d7c8cd15	WXS	TCGA-GBM
0fea1b7d-8aab-4eb2-ac7c-a1ca1cd40124	WXS	TCGA-GBM
81c310b0-4c62-41c2-8fb6-00592ace5d3e	WXS	TCGA-GBM
ad10d578-862e-491d-92b6-230d43e74a3e	WXS	TCGA-GBM
7d78e5fd-4a1f-4e8f-9493-6516c0697db0	WXS	TCGA-GBM
7f5df990-9a61-44af-b7cf-73cfb327a090	WXS	TCGA-GBM
dc6dbc2e-f3c5-42a1-b724-68e0bd31368c	WXS	TCGA-GBM
788fe051-5ab4-4f5b-963e-8ef28c75b374	WXS	TCGA-GBM
6a0f84df-1ace-4447-8f54-15b7ec8564ab	WXS	TCGA-GBM
960f2640-504a-48c5-aca9-305b1e700a2c	WXS	TCGA-GBM
244466f1-3d01-4adf-8d57-3c7fccbcd37d	WXS	TCGA-GBM
6a882988-96b7-4427-a4e9-628f87b285aa	WXS	TCGA-GBM
38571c57-7938-4d00-acd0-7d7ff1c202bd	WXS	TCGA-GBM
aa9badc4-2f4e-4b1d-a8e1-1f8484cc5cd1	WXS	TCGA-GBM
d4c35054-ccd6-4fa1-8b78-c23e164565f3	WXS	TCGA-GBM
264cb61b-e3d0-4d44-8f06-4db288512678	WXS	TCGA-GBM
16980437-e5c6-4311-966d-dd8c5dba7463	WXS	TCGA-GBM
4d9a3c02-a5b7-4ca8-a51e-a044c76e5ea3	WXS	TCGA-GBM
3e6fef96-5bab-41be-95e1-3a496c2dcd62	WXS	TCGA-GBM
b4b671f0-48ac-4e5d-9435-d61329d9db49	WXS	TCGA-GBM
83a36110-08cb-4789-88b4-afd4d1a58003	WXS	TCGA-GBM
2b1aa35b-084b-4105-b9cb-ace7c9281993	WXS	TCGA-GBM
1a216f0d-63f9-4ca7-8ef3-d1fd863ea32b	WXS	TCGA-GBM
7a028c82-5aea-4b57-9805-2c8cc2df1d73	WXS	TCGA-GBM
40f22ac7-bd20-4ba7-b77c-7b6a6a59c7d7	WXS	TCGA-GBM
99c6ec3f-937e-4a84-8875-9b4e4ac323c1	WXS	TCGA-GBM
096233f0-3800-42ab-87ac-e3980549f3a5	WXS	TCGA-GBM
cd0c18c1-ccf4-41d2-aeda-eaf0abfba239	WXS	TCGA-GBM
ea1de166-db98-46ab-bc15-31c9867d9fc7	WXS	TCGA-GBM
429010ac-11e5-4e54-907f-1a4f8818327f	WXS	TCGA-GBM
a4945fda-1da6-46b5-9a06-a723355a55de	WXS	TCGA-GBM
25231778-e29b-4b10-aa59-0c6809277450	WXS	TCGA-LAML
c3c5994d-56a8-4c3c-b59a-3f952e6c1eb9	WXS	TCGA-LAML
0958609d-a164-4e7f-8a32-5cf28ab0e428	WXS	TCGA-LAML
0609bbe4-ad1a-4de3-a324-c16fd0bf37af	WXS	TCGA-LAML
7264334a-137b-47e9-a421-2e1f1f83dc7c	WXS	TCGA-LAML
171d4efe-3e49-40ef-99ce-d7c1b2347982	WXS	TCGA-LAML
809e8be5-ccb5-4c63-9c06-9258aadc9571	WXS	TCGA-LAML
1077b7f7-01da-424c-85af-22c2b6043d3f	WXS	TCGA-LAML
ba8cb6a5-7587-4a66-98c7-f9670a0308d0	WXS	TCGA-LAML
b1ac31eb-7232-4b98-aa04-df758f09ae94	WXS	TCGA-LGG
e80c81ba-0ce4-4282-850d-0bced7827e86	WXS	TCGA-LUAD
a0e84075-f8c5-4482-b9f3-da36a4a08db9	WXS	TCGA-LGG
d1530961-a780-4af9-8867-42a9c3c9edfd	WXS	TCGA-LGG
ea6c251c-ae37-46c7-8246-f5a23aade4db	WXS	TCGA-LUAD
c9f647ba-e305-4aa3-a567-e78552d9db07	WXS	TCGA-LUAD
12ea57ce-21bd-4cd0-a9da-b83ffe00c12f	WXS	TCGA-LUAD
915c8ac7-7b5e-45ec-b3c6-6f7fd74b034c	WXS	TCGA-LUAD
d8f739c4-bc87-4954-bb8a-728242f22454	WXS	TCGA-LUAD
cd4388a0-a6b4-412b-9319-b0d287969006	WXS	TCGA-LUAD
